Csapat;Részvételek száma;Első részvétel;Legutóbbi részvétel;Legjobb eredmény
Brazília;21;1930;2018;Világbajnok (1958, 1962, 1970, 1994, 2002)
Németország;19;1934;2018;Világbajnok (1954, 1974, 1990, 2014)
Olaszország;18;1934;2014;Világbajnok (1934, 1938, 1982, 2006)
Argentína;17;1930;2018;Világbajnok (1978, 1986)
Mexikó;16;1930;2018;Negyeddöntő (1970, 1986)
Anglia;15;1950;2018;Világbajnok (1966)
Franciaország;15;1930;2018;Világbajnok (1998, 2018)
Spanyolország;15;1934;2018;Világbajnok (2010)
Belgium;13;1930;2018;Bronzérmes (2018)
Uruguay;13;1930;2018;Világbajnok (1930, 1950)
Svédország;12;1934;2018;Ezüstérmes (1958)
Szerbia;12;1930;2018;Elődöntő (1930), Negyedik hely (1962)
Oroszország;11;1958;2018;Negyedik hely (1966)
Svájc;11;1934;2018;Negyeddöntő (1934, 1938, 1954)
Dél-Korea;10;1954;2018;Negyedik hely (2002)
Egyesült Államok;10;1930;2014;Elődöntő (1930)
Hollandia;10;1934;2014;Ezüstérmes (1974, 1978, 2010)
Csehország;9;1934;2006;Ezüstérmes (1934, 1962)
Magyarország;9;1934;1986;Ezüstérmes (1938, 1954)
Chile;9;1930;2014;Bronzérmes (1962)
Lengyelország;8;1938;2018;Bronzérmes (1974, 1982)
Paraguay;8;1930;2010;Negyeddöntő (2010)
Skócia;8;1954;1998;Első forduló (1954, 1958, 1974, 1978, 1982, 1986, 1990, 1998)
Ausztria;7;1934;1998;Bronzérmes (1954)
Bulgária;7;1962;1998;Negyedik hely (1994)
Kamerun;7;1982;2014;Negyeddöntő (1990)
Portugália;7;1966;2018;Bronzérmes (1966)
Románia;7;1930;1998;Negyeddöntő (1994)
Japán;6;1998;2018;Nyolcaddöntő (2002, 2010, 2018)
Kolumbia;6;1962;2018;Negyeddöntő (2014)
Nigéria;6;1994;2018;Nyolcaddöntő (1994, 1998, 2014)
Ausztrália;5;1974;2018;Nyolcaddöntő (2006)
Costa Rica;5;1990;2018;Negyeddöntő (2014)
Dánia;5;1986;2018;Negyeddöntő (1998)
Horvátország;5;1998;2018;Ezüstérmes (2018)
Irán;5;1978;2018;Első forduló (1978, 1998, 2006, 2014, 2018)
Marokkó;5;1970;2018;Nyolcaddöntő (1986)
Szaúd-Arábia;5;1994;2018;Nyolcaddöntő (1994)
Peru;5;1930;2018;Negyeddöntő (1970)
Tunézia;5;1978;2018;Első forduló (1978, 1998, 2002, 2006, 2018)
Algéria;4;1982;2014;Nyolcaddöntő (2014)
Bolívia;3;1930;1994;Első forduló (1930, 1974, 1994)
Dél-afrikai Köztársaság;3;1998;2010;Első forduló (1998, 2002, 2010)
Ecuador;3;2002;2014;Nyolcaddöntő (2006)
Egyiptom;3;1934;2018;Első forduló (1934, 1990, 2018)
Elefántcsontpart;3;2006;2014;Első forduló (2006, 2010, 2014)
Észak-Írország;3;1958;1986;Negyeddöntő (1958)
Ghána;3;2006;2014;Negyeddöntő (2010)
Görögország;3;1994;2014;Nyolcaddöntő (2014)
Honduras;3;1982;2014;Első forduló (1982, 2010, 2014)
Írország;3;1990;2002;Negyeddöntő (1990)
Norvégia;3;1938;1998;Nyolcaddöntő (1998)
Észak-Korea;2;1966;2010;Negyeddöntő (1966)
Salvador;2;1970;1982;Első forduló (1970, 1982)
Szenegál;2;2002;2018;Negyeddöntő (2002)
Szlovénia;2;2002;2010;Első forduló (2002, 2010)
Törökország;2;1954;2002;Bronzérmes (2002)
Új-Zéland;2;1982;2010;Első forduló (1982, 2010)
Angola;1;2006;2006;Első forduló
Bosznia-Hercegovina;1;2014;2014;Első forduló
Egyesült Arab Emírségek;1;1990;1990;Első forduló
Haiti;1;1974;1974;Első forduló
Indonézia;1;1938;1938;Első forduló
Irak;1;1986;1986;Első forduló
Izland;1;2018;2018;Első forduló
Izrael;1;1970;1970;Első forduló
Jamaica;1;1998;1998;Első forduló
Kanada;1;1986;1986;Első forduló
Kína;1;2002;2002;Első forduló
Kongói DK;1;1974;1974;Első forduló
Kuba;1;1938;1938;Negyeddöntő
Kuvait;1;1982;1982;Első forduló
NDK;1;1974;1974;Második csoportkör
Panama;1;2018;2018;Első forduló
Szlovákia;1;2010;2010;Nyolcaddöntő
Togo;1;2006;2006;Első forduló
Trinidad és Tobago;1;2006;2006;Első forduló
Ukrajna;1;2006;2006;Negyeddöntő
Wales;1;1958;1958;Negyeddöntő
